Account Number,Person's Name,Last Contact Date,Last Paid Date,Last Payment Extension,Cure Sent/Needed,Was Accel Sent (If Needed),"Credit Reporting Past Due 31, 61, 91",Last Assigned for Repossession,Previous Repo/Reinstatement Date,Reason for Being Past Due,Extension Eligible
ACCT932162,Customer 49,2023-08-08,2022-04-19,2022-05-08,No,,31 days,2023-12-11,2022-08-25,Overspending,No
ACCT490605,Customer 50,2022-11-14,2024-12-14,2022-10-29,No,,91+ days,2022-06-30,,Overspending,No
ACCT788994,Customer 51,2020-10-19,2020-10-29,2021-08-23,No,,31 days,2024-12-14,2023-03-08,Job loss,Yes
ACCT135262,Customer 52,2021-06-22,2024-05-05,,No,,None,,2021-06-29,Medical emergency,No
ACCT979826,Customer 53,,2025-01-31,2024-09-16,Yes,No,91+ days,2020-10-21,,Bank error,No
ACCT495361,Customer 54,,2021-05-31,2022-09-24,Yes,No,31 days,2022-08-26,,Overspending,Yes
ACCT589686,Customer 55,2022-07-06,2022-07-24,2024-11-01,Yes,No,31 days,,,Late paycheck,Yes
ACCT842857,Customer 56,,2020-06-08,2020-12-23,Yes,No,None,2023-08-31,,Medical emergency,No
ACCT152559,Customer 57,2021-10-26,,2020-02-12,Yes,No,None,2022-12-16,,Bank error,No
ACCT841354,Customer 58,2021-10-07,2024-01-05,,No,,61 days,2020-11-30,2024-08-30,Other,Yes
ACCT893058,Customer 59,,2022-01-18,2020-02-18,Yes,No,31 days,2020-03-22,2020-05-06,Overspending,No
ACCT528043,Customer 60,2022-02-08,2020-12-10,,No,,91+ days,2025-02-28,2020-08-24,Unexpected expenses,No
ACCT558576,Customer 61,2021-07-27,2024-06-11,2021-12-17,No,,61 days,,2023-06-13,Late paycheck,No
ACCT593596,Customer 62,2025-01-21,,2020-12-06,Yes,No,None,2020-09-30,,Medical emergency,Yes
ACCT651709,Customer 63,2023-08-11,2022-09-29,2025-02-02,No,,None,,,Divorce,No
ACCT204030,Customer 64,2020-07-01,2020-09-10,2022-01-10,Yes,No,91+ days,2020-05-17,2024-10-08,Other,Yes
ACCT574368,Customer 65,2024-11-19,2023-11-08,,Yes,No,91+ days,,2022-12-01,Unexpected expenses,Yes
ACCT367769,Customer 66,2022-08-05,2021-01-17,2020-04-09,No,,61 days,,2022-02-10,Medical emergency,No
ACCT290303,Customer 67,2020-04-03,2023-07-02,2020-03-26,Yes,No,None,,2021-10-28,Bank error,Yes
ACCT418626,Customer 68,2025-01-27,2023-03-18,2020-05-04,Yes,Yes,61 days,,2023-12-30,Divorce,Yes
ACCT796102,Customer 69,,,,Yes,No,91+ days,2021-06-18,,Job loss,Yes
ACCT393512,Customer 70,2023-09-22,2022-01-06,2020-01-27,No,,31 days,2024-11-16,2024-04-06,Job loss,No
ACCT231683,Customer 71,2023-02-13,2021-05-03,2024-11-06,Yes,No,61 days,,2021-04-23,Bank error,Yes
ACCT218658,Customer 72,2020-08-08,2022-04-24,2022-01-25,Yes,Yes,91+ days,2023-05-11,2020-05-24,Medical emergency,Yes
ACCT140899,Customer 73,2020-09-24,2023-10-11,2024-08-14,No,,31 days,2020-04-14,,Divorce,No
ACCT359235,Customer 74,2023-08-14,2021-04-14,2023-10-03,No,,None,2022-04-13,,Medical emergency,Yes
ACCT581592,Customer 75,,2023-09-18,,No,,None,,2022-10-11,Other,No
ACCT225967,Customer 76,2020-05-05,2020-07-03,,Yes,No,91+ days,,2022-06-24,Unexpected expenses,Yes
ACCT420145,Customer 77,,2025-01-25,2024-09-12,No,,31 days,,2024-04-20,Job loss,No
ACCT221947,Customer 78,2021-12-15,2024-03-21,,Yes,No,61 days,2024-04-30,,Overspending,Yes
ACCT353241,Customer 79,,2022-02-22,2024-05-26,Yes,No,91+ days,2020-06-08,,Overspending,Yes
ACCT135533,Customer 80,2022-01-29,2023-12-17,2020-10-02,Yes,Yes,61 days,2024-07-16,2023-06-24,Divorce,No
ACCT424713,Customer 81,2021-07-21,2024-08-24,2023-01-05,Yes,No,None,,2024-03-16,Late paycheck,Yes
ACCT530418,Customer 82,,2022-10-01,,No,,61 days,2020-05-18,2021-01-31,Other,No
ACCT144239,Customer 83,2020-08-31,2023-06-03,2021-01-21,No,,91+ days,2022-07-27,,Other,Yes
ACCT964904,Customer 84,2022-12-09,2023-07-10,2022-02-10,No,,31 days,2023-12-24,,Unexpected expenses,Yes
ACCT326041,Customer 85,2025-01-19,,,No,,61 days,2021-07-16,,Divorce,No
ACCT664578,Customer 86,2022-07-10,2024-07-19,2022-12-06,No,,61 days,2023-02-11,,Unexpected expenses,Yes
ACCT117895,Customer 87,2021-09-29,2023-06-28,,Yes,No,None,,2021-01-24,Overspending,Yes
ACCT589427,Customer 88,2022-02-19,2022-12-18,2024-11-19,No,,None,2022-01-08,,Late paycheck,Yes
ACCT493421,Customer 89,2024-04-13,,2024-12-09,No,,31 days,2023-11-17,2022-03-23,Overspending,No
ACCT515587,Customer 90,2022-12-28,2021-01-10,2024-01-01,Yes,No,31 days,2022-06-09,2023-03-17,Divorce,No
ACCT282597,Customer 91,,,2024-11-23,Yes,No,91+ days,2024-11-25,,Divorce,Yes
ACCT343646,Customer 92,,2023-04-29,2022-05-03,Yes,Yes,31 days,2022-12-31,,Other,Yes
ACCT655352,Customer 93,2020-01-31,2021-07-14,,Yes,Yes,31 days,2024-12-28,,Job loss,No
ACCT926934,Customer 94,2020-03-22,2025-01-08,,Yes,No,31 days,,2021-12-30,Other,Yes
ACCT510791,Customer 95,2023-10-05,2022-11-28,2020-01-16,Yes,No,31 days,2020-05-18,2022-12-02,Bank error,No
ACCT922138,Customer 96,2021-12-29,2023-04-03,2020-04-19,Yes,Yes,None,2022-08-09,2021-11-10,Overspending,No
ACCT801406,Customer 97,,2024-01-08,2022-08-06,Yes,Yes,None,2021-04-11,2021-04-29,Job loss,No
ACCT462850,Customer 98,2021-11-07,2020-03-29,2022-12-07,No,,91+ days,2023-09-27,2022-11-15,Unexpected expenses,Yes
ACCT461778,Customer 99,2022-10-17,2024-05-02,2024-04-14,Yes,Yes,31 days,2023-09-21,2022-11-21,Bank error,Yes
ACCT807136,Customer 100,2022-03-30,2023-06-07,2022-08-13,No,,91+ days,,2024-10-16,Divorce,Yes
ACCT612445,Customer 101,2024-04-14,,2022-11-17,No,,31 days,2020-03-13,2022-07-14,Divorce,No
ACCT722358,Customer 102,2024-03-09,2021-04-29,2024-12-01,Yes,Yes,61 days,2024-12-07,2020-07-24,Overspending,No
ACCT915392,Customer 103,2023-05-10,2020-06-07,,No,,None,2022-01-14,,Divorce,Yes
ACCT690982,Customer 104,,2024-09-26,,Yes,Yes,None,2023-05-13,2022-10-17,Divorce,Yes
ACCT275750,Customer 105,,2023-02-03,,Yes,No,None,2021-10-19,,Bank error,Yes
ACCT152685,Customer 106,2024-05-31,2022-01-29,2024-08-26,Yes,Yes,31 days,,2020-03-08,Other,No
ACCT759709,Customer 107,2020-11-09,2022-09-29,,No,,31 days,2022-11-24,2020-05-01,Other,Yes
ACCT589266,Customer 108,2023-12-12,2021-04-08,2021-10-09,Yes,Yes,61 days,2025-02-05,2024-08-31,Divorce,Yes
ACCT770424,Customer 109,2021-03-21,,2021-09-28,No,,None,2021-11-06,,Other,No
ACCT304739,Customer 110,2024-11-27,2024-01-25,,No,,61 days,2024-09-13,2023-12-20,Bank error,No
ACCT286353,Customer 111,2021-11-01,2023-10-15,2022-12-06,No,,91+ days,,2020-07-15,Job loss,No
ACCT294751,Customer 112,,,2023-02-27,No,,91+ days,2024-04-26,,Late paycheck,No
ACCT754817,Customer 113,2023-09-11,2023-02-11,,No,,None,2022-01-26,2023-03-01,Other,No
ACCT643180,Customer 114,2022-04-26,2022-12-13,2020-09-06,No,,None,,,Job loss,Yes
ACCT452918,Customer 115,2022-02-15,2022-02-26,2021-05-10,No,,61 days,2024-11-06,2024-07-13,Bank error,Yes
ACCT575455,Customer 116,2022-04-27,2024-06-05,2024-06-14,No,,31 days,,2022-10-12,Job loss,No
ACCT982401,Customer 117,2023-06-09,2022-01-15,2020-05-27,No,,61 days,2020-10-30,,Other,No
ACCT878663,Customer 118,2022-06-24,2023-02-19,2020-12-01,No,,91+ days,2023-06-11,2023-07-20,Unexpected expenses,Yes
ACCT360265,Customer 119,2023-02-26,2022-07-25,2022-06-08,No,,91+ days,2021-11-08,,Unexpected expenses,Yes
ACCT924709,Customer 120,2020-03-31,2020-09-25,2022-07-03,No,,31 days,2021-03-25,,Job loss,No
ACCT867893,Customer 121,2020-09-03,2020-11-15,2025-02-24,Yes,Yes,None,2022-11-09,2022-11-02,Unexpected expenses,Yes
ACCT541914,Customer 122,2025-01-18,2021-04-19,,Yes,No,91+ days,2022-04-05,2021-07-21,Medical emergency,Yes
ACCT970430,Customer 123,2023-02-11,2021-11-14,2023-06-29,Yes,No,91+ days,,2020-01-02,Divorce,Yes
ACCT240404,Customer 124,2022-11-04,2022-11-03,2022-04-11,Yes,Yes,91+ days,2022-01-27,,Late paycheck,Yes
ACCT168064,Customer 125,2025-02-18,2020-08-01,2022-11-15,Yes,No,31 days,,2020-12-16,Other,No
ACCT247527,Customer 126,,2024-09-08,2020-03-15,No,,91+ days,2020-01-10,2024-10-02,Job loss,No
ACCT476385,Customer 127,2021-05-18,2020-03-27,2021-10-01,Yes,No,91+ days,2021-06-29,2021-10-01,Job loss,Yes
ACCT641654,Customer 128,2020-02-29,2021-10-23,2022-11-26,No,,None,2021-01-21,,Unexpected expenses,No
ACCT463575,Customer 129,2021-04-30,2024-12-16,2021-06-28,Yes,No,61 days,,2023-06-04,Other,Yes
ACCT408220,Customer 130,2021-08-14,2023-03-09,2024-04-18,No,,61 days,2024-09-28,2022-03-18,Bank error,No
ACCT377719,Customer 131,2022-10-09,2024-12-14,2023-11-05,Yes,No,31 days,2020-09-21,2024-06-13,Overspending,No
ACCT115483,Customer 132,2024-11-30,,2024-04-10,No,,31 days,2024-06-11,,Other,No
ACCT446853,Customer 133,2022-09-13,,,Yes,No,None,,,Unexpected expenses,No
ACCT225949,Customer 134,2025-01-01,2023-01-09,2021-11-27,Yes,Yes,31 days,2024-06-28,2023-05-08,Medical emergency,Yes
ACCT784566,Customer 135,,2020-05-15,2021-02-04,No,,61 days,,,Divorce,Yes
ACCT503603,Customer 136,2021-10-29,2023-03-01,2024-12-31,No,,61 days,2024-12-22,2023-05-25,Late paycheck,Yes
ACCT941013,Customer 137,,2024-10-20,2020-07-05,No,,61 days,2025-01-04,2021-05-12,Medical emergency,No
ACCT204402,Customer 138,2024-06-08,2020-11-03,2021-08-20,No,,None,2023-10-29,2024-06-24,Divorce,No
ACCT581595,Customer 139,2024-05-11,2023-09-03,2024-09-29,No,,61 days,2024-11-14,2023-09-05,Medical emergency,Yes
ACCT230486,Customer 140,2022-11-07,2021-12-12,2024-10-20,Yes,No,None,2020-08-11,2021-07-24,Late paycheck,Yes
ACCT645611,Customer 141,2025-01-10,2022-12-17,,Yes,No,None,2020-01-29,2021-11-28,Other,No
ACCT715167,Customer 142,2024-03-03,2023-03-12,,Yes,No,91+ days,2021-06-25,2024-08-02,Medical emergency,Yes
ACCT698840,Customer 143,2022-04-05,2023-05-08,2022-12-17,Yes,No,None,2020-02-04,2020-01-03,Late paycheck,Yes
ACCT991163,Customer 144,2023-09-19,2024-10-19,,Yes,Yes,91+ days,2023-02-17,,Bank error,Yes
ACCT633552,Customer 145,2020-12-09,2020-08-07,2022-06-28,Yes,Yes,61 days,2022-12-20,,Bank error,No
ACCT959609,Customer 146,2020-06-11,2024-06-14,2022-11-16,Yes,Yes,None,2020-08-04,2022-11-17,Medical emergency,No
ACCT396928,Customer 147,2023-07-01,2020-07-22,2020-01-08,No,,31 days,2022-02-05,2024-10-27,Job loss,No
ACCT208353,Customer 148,2021-07-27,2021-02-05,2020-02-14,Yes,Yes,None,2024-07-06,2023-05-08,Divorce,Yes
ACCT742072,Customer 149,,2022-09-21,2024-11-23,No,,31 days,,2023-04-15,Job loss,No
ACCT137512,Customer 150,2023-06-19,2023-08-18,2021-01-04,Yes,No,91+ days,2023-02-20,2024-01-19,Unexpected expenses,No
ACCT729632,Customer 151,,2021-01-03,2022-10-31,Yes,No,31 days,,2024-05-25,Late paycheck,No
ACCT187162,Customer 152,2021-06-07,2020-07-15,2021-04-16,Yes,Yes,None,2020-12-27,2021-03-17,Bank error,No
ACCT130082,Customer 153,2024-03-27,2022-09-10,2020-06-27,No,,None,2022-04-05,2021-01-30,Other,Yes
ACCT247676,Customer 154,,2020-04-15,2022-12-08,Yes,No,31 days,2023-10-31,2021-01-10,Other,Yes
ACCT627299,Customer 155,,2023-02-12,2021-08-11,Yes,No,31 days,2024-08-04,2022-07-20,Late paycheck,No
ACCT702594,Customer 156,,2024-03-26,2021-10-19,Yes,Yes,91+ days,2024-09-07,2023-07-27,Unexpected expenses,Yes
ACCT639868,Customer 157,,2021-08-17,2020-03-25,No,,None,2021-05-14,2022-09-30,Other,Yes
ACCT532439,Customer 158,,2020-02-14,2023-03-20,Yes,No,91+ days,2023-04-30,2020-02-02,Divorce,Yes
ACCT554326,Customer 159,2024-04-12,,2020-11-18,Yes,Yes,91+ days,2022-01-18,2022-10-14,Other,Yes
ACCT995314,Customer 160,2023-01-24,,2021-06-07,Yes,No,None,2022-12-16,2022-10-23,Bank error,Yes
ACCT228755,Customer 161,2023-02-05,2023-10-21,2020-07-07,No,,None,,2024-01-17,Late paycheck,Yes
ACCT602978,Customer 162,2022-05-13,2021-09-25,2021-06-18,No,,61 days,2022-10-07,2021-10-09,Overspending,Yes
ACCT790549,Customer 163,2020-09-12,,2020-11-22,No,,31 days,2021-10-14,2022-10-19,Unexpected expenses,No
ACCT450418,Customer 164,2023-03-15,,2022-11-25,Yes,Yes,61 days,2021-03-14,2023-11-05,Overspending,Yes
ACCT962085,Customer 165,2022-09-25,2023-03-01,2022-01-27,Yes,No,31 days,2022-11-01,2021-01-17,Job loss,Yes
ACCT720921,Customer 166,2024-09-04,2023-02-18,2023-05-25,Yes,No,None,2024-06-22,2023-05-15,Bank error,No
ACCT146655,Customer 167,2021-09-15,2023-03-26,,Yes,No,None,2024-10-14,2022-09-24,Overspending,No
ACCT214654,Customer 168,2023-02-03,2022-03-28,2024-07-27,No,,61 days,2020-02-28,,Job loss,Yes
ACCT858023,Customer 169,,2024-07-30,2023-04-26,No,,31 days,,2020-03-19,Late paycheck,No
ACCT303610,Customer 170,2022-12-26,2022-12-31,2021-08-02,Yes,Yes,61 days,2020-06-22,,Other,No
ACCT746630,Customer 171,2024-01-17,2020-08-24,2022-01-15,Yes,Yes,91+ days,,,Bank error,No
ACCT366622,Customer 172,2021-07-14,,2021-02-25,No,,61 days,2020-06-30,2023-10-10,Medical emergency,Yes
ACCT960329,Customer 173,,,2024-01-22,No,,31 days,2023-10-09,,Job loss,Yes
ACCT563005,Customer 174,2022-04-12,,,No,,61 days,2021-08-25,2022-06-02,Bank error,No
ACCT982159,Customer 175,,2022-12-27,,No,,91+ days,2021-01-25,2020-04-17,Medical emergency,No
ACCT434738,Customer 176,2024-12-13,2024-03-12,2024-01-12,No,,61 days,2023-11-23,2021-07-01,Bank error,Yes
ACCT889926,Customer 177,,2024-05-12,2024-08-29,Yes,No,None,2023-03-06,2022-05-29,Unexpected expenses,No
ACCT837704,Customer 178,2023-12-12,2024-09-05,2022-07-05,Yes,Yes,91+ days,2021-05-08,2022-12-23,Bank error,No
ACCT137335,Customer 179,2024-02-14,2022-09-17,2021-01-07,No,,31 days,2021-09-30,2023-11-18,Overspending,Yes
ACCT688398,Customer 180,2020-04-02,2021-07-14,2021-03-01,Yes,Yes,31 days,2021-05-30,,Late paycheck,No
ACCT622206,Customer 181,2020-05-25,2021-09-19,2020-09-15,No,,91+ days,2020-12-31,2025-01-14,Other,No
ACCT793232,Customer 182,2021-04-11,2021-02-06,2023-05-21,Yes,Yes,61 days,2024-07-30,2024-04-28,Unexpected expenses,No
ACCT909761,Customer 183,2023-02-03,2024-09-16,2024-01-22,Yes,Yes,None,2020-07-12,2020-12-11,Late paycheck,Yes
ACCT550449,Customer 184,2024-03-23,,,Yes,Yes,91+ days,2021-12-28,2020-05-14,Late paycheck,Yes
ACCT523052,Customer 185,,,2020-05-29,Yes,No,91+ days,,2024-05-02,Medical emergency,No
ACCT793557,Customer 186,2023-01-16,2020-02-12,2020-08-02,Yes,No,None,2021-08-20,2020-01-18,Unexpected expenses,Yes
ACCT973616,Customer 187,,2024-12-03,,No,,31 days,2021-12-03,,Bank error,Yes
ACCT448967,Customer 188,2024-05-06,2020-05-26,2022-05-02,No,,None,2024-09-27,,Bank error,No
ACCT248753,Customer 189,2022-04-22,2023-03-16,2022-08-30,Yes,Yes,None,2020-02-17,2020-12-14,Divorce,Yes
ACCT617780,Customer 190,,2021-08-09,2020-01-02,No,,31 days,,,Overspending,No
ACCT886936,Customer 191,,,2023-07-16,Yes,Yes,61 days,,2020-08-12,Divorce,No
ACCT562962,Customer 192,2022-04-11,,2021-02-09,Yes,Yes,31 days,2024-02-16,2023-10-17,Overspending,Yes
ACCT951992,Customer 193,2024-03-19,2022-05-18,2021-01-11,Yes,Yes,91+ days,2024-10-26,2021-01-25,Medical emergency,No
ACCT667279,Customer 194,2022-04-29,2021-10-18,,Yes,Yes,61 days,2022-08-02,2024-11-04,Job loss,No
ACCT293773,Customer 195,,2023-06-22,2024-08-28,No,,61 days,2023-06-26,2020-10-05,Medical emergency,Yes
ACCT109263,Customer 196,2022-06-11,2021-08-17,2021-11-16,No,,61 days,2020-06-14,2022-04-26,Bank error,Yes
ACCT478802,Customer 197,2020-07-12,2020-12-19,2024-10-14,Yes,No,None,2023-07-18,2024-02-29,Divorce,Yes
ACCT941027,Customer 198,2022-02-23,2020-03-29,2024-01-27,No,,61 days,2021-01-04,,Medical emergency,Yes
ACCT872007,Customer 199,2023-08-18,2020-07-11,,Yes,No,91+ days,2024-09-09,2024-04-18,Divorce,No
ACCT175697,Customer 200,2024-09-07,2020-03-21,,Yes,Yes,None,2025-01-01,2023-04-13,Job loss,Yes
ACCT823069,Customer 201,2023-07-12,2022-04-04,,No,,61 days,2022-02-02,2021-02-08,Other,Yes
ACCT666716,Customer 202,2021-08-17,,2023-09-11,No,,91+ days,2024-08-19,2022-10-28,Unexpected expenses,No
ACCT175953,Customer 203,2024-09-27,2020-07-09,,No,,31 days,2022-12-17,2020-07-29,Overspending,No
ACCT655258,Customer 204,2024-07-09,2021-03-02,2024-03-02,No,,31 days,,2020-08-07,Divorce,Yes
ACCT547444,Customer 205,2021-12-04,,2021-09-09,Yes,Yes,None,2024-12-21,,Divorce,No
ACCT745111,Customer 206,,2021-11-12,,No,,91+ days,2021-11-11,,Bank error,No
ACCT702841,Customer 207,2024-08-07,2022-03-25,2022-01-05,No,,91+ days,,2022-10-09,Divorce,Yes
ACCT945874,Customer 208,2024-09-29,2024-12-16,2021-12-30,No,,91+ days,2023-08-19,2023-03-14,Overspending,Yes
ACCT620477,Customer 209,,2020-01-24,2022-07-17,No,,91+ days,,2024-06-18,Divorce,Yes
ACCT816314,Customer 210,,2023-05-28,2021-02-24,No,,None,,2020-07-03,Divorce,Yes
ACCT562671,Customer 211,2024-01-22,,2022-11-13,Yes,Yes,61 days,2022-04-19,,Late paycheck,Yes
ACCT538536,Customer 212,,2024-12-21,2023-04-08,Yes,No,61 days,2023-06-30,,Medical emergency,No
ACCT796309,Customer 213,2020-11-22,2024-08-02,2020-12-23,Yes,Yes,None,2024-04-11,,Unexpected expenses,Yes
ACCT880475,Customer 214,2024-06-10,2021-02-24,,Yes,No,91+ days,2023-03-31,2020-01-23,Bank error,Yes
ACCT114918,Customer 215,2024-01-12,2023-06-21,2021-11-30,No,,31 days,2021-07-03,2024-08-26,Unexpected expenses,Yes
ACCT106301,Customer 216,2023-07-09,,,Yes,No,61 days,2020-10-18,2020-08-30,Divorce,No
ACCT807894,Customer 217,2022-10-05,,2020-03-18,No,,31 days,2024-11-09,2022-03-02,Bank error,No
ACCT116068,Customer 218,2023-03-27,2020-01-13,2023-11-09,Yes,No,61 days,2023-05-26,2022-09-07,Other,No
ACCT812303,Customer 219,,2022-09-12,2022-01-22,Yes,No,91+ days,2022-08-24,2022-07-20,Unexpected expenses,Yes
ACCT915717,Customer 220,2025-03-01,2023-10-06,2020-03-13,Yes,Yes,31 days,,2024-10-20,Job loss,No
ACCT983941,Customer 221,2020-11-20,2020-12-04,,No,,31 days,2022-12-03,,Job loss,No
ACCT656338,Customer 222,,,2024-03-18,No,,31 days,2023-01-24,2021-06-12,Job loss,No
ACCT494513,Customer 223,2023-09-14,2024-02-08,,No,,None,2023-07-10,2023-11-19,Unexpected expenses,No
ACCT775348,Customer 224,2020-01-03,2021-01-22,2021-05-06,Yes,Yes,31 days,2020-03-24,2020-05-20,Job loss,Yes
ACCT919036,Customer 225,2020-09-03,2024-09-19,,No,,91+ days,2023-02-28,2021-05-08,Medical emergency,No
ACCT545166,Customer 226,2025-01-16,2024-05-11,2023-03-05,Yes,Yes,None,2023-09-11,,Job loss,Yes
ACCT542432,Customer 227,2024-02-23,2023-03-01,2024-11-18,Yes,Yes,None,2024-03-30,2025-02-21,Late paycheck,No
ACCT324060,Customer 228,,2022-04-03,2023-06-27,No,,31 days,,,Other,No
ACCT998259,Customer 229,2023-04-18,2021-02-21,2020-02-07,Yes,No,91+ days,2022-06-02,2022-04-10,Unexpected expenses,Yes
ACCT548686,Customer 230,2022-11-05,2022-08-10,,No,,91+ days,2021-07-08,2023-11-03,Overspending,Yes
ACCT276094,Customer 231,,2022-08-06,2020-02-04,No,,91+ days,2020-02-14,2023-08-13,Divorce,Yes
ACCT444142,Customer 232,,2021-04-29,,Yes,No,91+ days,2022-08-20,2023-08-04,Other,Yes
ACCT958554,Customer 233,,,2024-12-23,Yes,No,61 days,2024-06-22,,Overspending,No
